"Time (s)","Magnetic Field x (µT)","Magnetic Field y (µT)","Magnetic Field z (µT)","Absolute field (µT)"
1.638910598E0,-2.362499952E0,1.939999962E1,-2.166250038E1,2.917542312E1
1.648910598E0,-2.325000048E0,1.943750000E1,-2.160000038E1,2.915102139E1
1.658910598E0,-2.299999952E0,1.947500038E1,-2.137500000E1,2.900786557E1
1.668910598E0,-2.312500000E0,1.951250076E1,-2.130000114E1,2.897887836E1
1.678910598E0,-2.325000048E0,1.953750038E1,-2.136250114E1,2.904265831E1
1.688910598E0,-2.312500000E0,1.955000114E1,-2.136250114E1,2.905007153E1
1.698910598E0,-2.275000095E0,1.953750038E1,-2.142500114E1,2.908470768E1
1.708910598E0,-2.225000143E0,1.951250076E1,-2.163750076E1,2.922104979E1
1.718910598E0,-2.225000143E0,1.952499962E1,-2.186250114E1,2.939634658E1
1.728910598E0,-2.237499952E0,1.950000000E1,-2.202499962E1,2.950181374E1
1.738910598E0,-2.250000000E0,1.945000076E1,-2.225000000E1,2.963827812E1
1.748910598E0,-2.275000095E0,1.945000076E1,-2.241250038E1,2.976236430E1
1.758910598E0,-2.299999952E0,1.943750000E1,-2.242500114E1,2.976553514E1
1.768910598E0,-2.325000048E0,1.943750000E1,-2.237500000E1,2.972982772E1
1.778910598E0,-2.337500095E0,1.939999962E1,-2.226250076E1,2.962166154E1
1.788910598E0,-2.362499952E0,1.939999962E1,-2.213750076E1,2.952982105E1
1.798910598E0,-2.362499952E0,1.941250038E1,-2.198750114E1,2.942578433E1
1.808910598E0,-2.337500095E0,1.943750000E1,-2.195000076E1,2.941229074E1
1.818910598E0,-2.325000048E0,1.951250076E1,-2.189999962E1,2.942368594E1
1.828910598E0,-2.287500143E0,1.952499962E1,-2.181250000E1,2.936398173E1
1.838910598E0,-2.275000095E0,1.951250076E1,-2.180000114E1,2.934541466E1
1.848910598E0,-2.275000095E0,1.950000000E1,-2.183749962E1,2.936497940E1
1.858910598E0,-2.225000143E0,1.952499962E1,-2.186250114E1,2.939634658E1
1.868910598E0,-2.225000143E0,1.955000114E1,-2.191250038E1,2.945014165E1
1.878910598E0,-2.212500095E0,1.951250076E1,-2.193750000E1,2.944294056E1
1.888910598E0,-2.225000143E0,1.947500038E1,-2.189999962E1,2.939109132E1
1.898910598E0,-2.262500048E0,1.938750076E1,-2.188750076E1,2.932672471E1
1.908910598E0,-2.262500048E0,1.931250000E1,-2.197500038E1,2.934266867E1
1.918910598E0,-2.250000000E0,1.925000000E1,-2.207500076E1,2.937568142E1
1.928910598E0,-2.250000000E0,1.925000000E1,-2.211250114E1,2.940387231E1
1.938910598E0,-2.275000095E0,1.927499962E1,-2.214999962E1,2.945036025E1
1.948910598E0,-2.275000095E0,1.927499962E1,-2.216250038E1,2.945976339E1
1.958910598E0,-2.262500048E0,1.932500076E1,-2.214999962E1,2.948214789E1
1.968910598E0,-2.237499952E0,1.936250114E1,-2.210000038E1,2.946731874E1
1.978910598E0,-2.187500000E0,1.938750076E1,-2.210000038E1,2.947999930E1
1.988910598E0,-2.174999952E0,1.941250038E1,-2.213750076E1,2.952363013E1
1.998910598E0,-2.187500000E0,1.946249962E1,-2.208749962E1,2.952002180E1
2.008910598E0,-2.162500143E0,1.947500038E1,-2.208749962E1,2.952642352E1
2.018910598E0,-2.174999952E0,1.945000076E1,-2.211250114E1,2.952957604E1
2.028910598E0,-2.200000048E0,1.941250038E1,-2.208749962E1,2.948801130E1
2.038910598E0,-2.200000048E0,1.933749962E1,-2.212500000E1,2.946683758E1
2.048910598E0,-2.225000143E0,1.931250000E1,-2.217500114E1,2.948989586E1
2.058910598E0,-2.262500048E0,1.932500076E1,-2.221249962E1,2.952913308E1
2.068910598E0,-2.325000048E0,1.932500076E1,-2.217500114E1,2.950579529E1
2.078910598E0,-2.325000048E0,1.931250000E1,-2.217500114E1,2.949760935E1
2.088910598E0,-2.362499952E0,1.928750038E1,-2.223750114E1,2.953126367E1
2.098910598E0,-2.375000000E0,1.930000114E1,-2.228750038E1,2.957808889E1
2.108910598E0,-2.350000143E0,1.935000038E1,-2.232500076E1,2.963698153E1
2.118910598E0,-2.350000143E0,1.939999962E1,-2.239999962E1,2.972612435E1
2.128910598E0,-2.362499952E0,1.943750000E1,-2.250000000E1,2.982696452E1
2.138910598E0,-2.387500048E0,1.945000076E1,-2.250000000E1,2.983710251E1
2.148910598E0,-2.387500048E0,1.945000076E1,-2.248750114E1,2.982767832E1
2.158910598E0,-2.362499952E0,1.952499962E1,-2.247500038E1,2.986524164E1
2.168910598E0,-2.337500095E0,1.958749962E1,-2.241250038E1,2.985723064E1
2.178910598E0,-2.312500000E0,1.955000114E1,-2.236250114E1,2.979314784E1
2.188910598E0,-2.299999952E0,1.951250076E1,-2.228750038E1,2.971128336E1
2.198910598E0,-2.299999952E0,1.951250076E1,-2.206250000E1,2.954287718E1
2.208910598E0,-2.287500143E0,1.951250076E1,-2.183749962E1,2.937425288E1
2.218910598E0,-2.250000000E0,1.951250076E1,-2.175000000E1,2.930635914E1
2.228910598E0,-2.200000048E0,1.951250076E1,-2.172500038E1,2.928401147E1
2.238910598E0,-2.212500095E0,1.947500038E1,-2.171249962E1,2.925069976E1
2.248910598E0,-2.187500000E0,1.942500114E1,-2.170000076E1,2.920626403E1
2.258910598E0,-2.150000095E0,1.946249962E1,-2.158749962E1,2.914500869E1
2.268910598E0,-2.137500048E0,1.948750114E1,-2.155000114E1,2.913304235E1
2.278910598E0,-2.112499952E0,1.945000076E1,-2.175000000E1,2.925453274E1
2.288910598E0,-2.075000048E0,1.939999962E1,-2.201250076E1,2.941455082E1
2.298910598E0,-2.062500000E0,1.937500000E1,-2.217500114E1,2.951906514E1
2.308910598E0,-2.075000048E0,1.937500000E1,-2.226250076E1,2.958572613E1
2.318910598E0,-2.075000048E0,1.937500000E1,-2.227499962E1,2.959513234E1
2.328910598E0,-2.087500095E0,1.937500000E1,-2.232500076E1,2.963366229E1
2.338910598E0,-2.112499952E0,1.937500000E1,-2.242500114E1,2.971083906E1
2.348910598E0,-2.137500048E0,1.938750076E1,-2.245000076E1,2.973964738E1
2.358910598E0,-2.162500143E0,1.942500114E1,-2.243750000E1,2.975648640E1
2.368910598E0,-2.187500000E0,1.948750114E1,-2.232500076E1,2.971453375E1
2.378910598E0,-2.225000143E0,1.951250076E1,-2.225000000E1,2.967744618E1
2.388910598E0,-2.212500095E0,1.950000000E1,-2.217500114E1,2.961208930E1
2.398910598E0,-2.237499952E0,1.952499962E1,-2.216250038E1,2.962108099E1
2.408910598E0,-2.225000143E0,1.951250076E1,-2.210000038E1,2.956515396E1
2.418910598E0,-2.212500095E0,1.947500038E1,-2.205000114E1,2.950209055E1
2.428910598E0,-2.187500000E0,1.943750000E1,-2.207500076E1,2.949418962E1
2.438910598E0,-2.137500048E0,1.941250038E1,-2.206250000E1,2.946469046E1
2.448910598E0,-2.112499952E0,1.936250114E1,-2.206250000E1,2.942996794E1
2.458910598E0,-2.125000000E0,1.935000038E1,-2.207500076E1,2.943201995E1
2.468910598E0,-2.150000095E0,1.935000038E1,-2.207500076E1,2.943383553E1
