"Time (s)","Magnetic field x (µT)","Magnetic field y (µT)","Magnetic field z (µT)"
3.065762136E1,-1.200000763E0,-7.250000000E1,-2.589999962E1
3.066766690E1,-1.100000381E0,-7.250000000E1,-2.589999962E1
3.067815483E1,-1.100000381E0,-7.240000153E1,-2.589999962E1
3.068758571E1,-1.100000381E0,-7.240000153E1,-2.589999962E1
3.069762898E1,-1.100000381E0,-7.240000153E1,-2.589999962E1
3.070762652E1,-1.100000381E0,-7.230000305E1,-2.589999962E1
3.071764942E1,-1.000000000E0,-7.230000305E1,-2.589999962E1
3.072767233E1,-1.000000000E0,-7.219999695E1,-2.589999962E1
3.073760340E1,-1.000000000E0,-7.219999695E1,-2.589999962E1
3.074758833E1,-1.000000000E0,-7.219999695E1,-2.589999962E1
3.075766467E1,-1.000000000E0,-7.219999695E1,-2.589999962E1
3.076761963E1,-1.000000000E0,-7.219999695E1,-2.600000191E1
3.077780202E1,-1.000000000E0,-7.219999695E1,-2.600000191E1
3.078757840E1,-1.100000381E0,-7.219999695E1,-2.610000038E1
3.079759790E1,-1.000000000E0,-7.219999695E1,-2.610000038E1
3.080760538E1,-1.100000381E0,-7.219999695E1,-2.610000038E1
3.081761286E1,-1.100000381E0,-7.219999695E1,-2.610000038E1
3.083047510E1,-1.100000381E0,-7.219999695E1,-2.610000038E1
3.084775583E1,-1.100000381E0,-7.219999695E1,-2.600000191E1
3.085773100E1,-1.000000000E0,-7.209999847E1,-2.600000191E1
3.086770617E1,-1.000000000E0,-7.209999847E1,-2.600000191E1
3.087765698E1,-1.000000000E0,-7.209999847E1,-2.600000191E1
3.088763406E1,-1.000000000E0,-7.209999847E1,-2.600000191E1
3.089761917E1,-1.100000381E0,-7.209999847E1,-2.600000191E1
3.090759502E1,-1.100000381E0,-7.219999695E1,-2.600000191E1
3.091759202E1,-1.100000381E0,-7.209999847E1,-2.589999962E1
3.092758052E1,-1.100000381E0,-7.219999695E1,-2.600000191E1
3.093760575E1,-1.100000381E0,-7.219999695E1,-2.600000191E1
3.094761306E1,-1.100000381E0,-7.219999695E1,-2.600000191E1
3.095766932E1,-1.100000381E0,-7.219999695E1,-2.589999962E1
3.096767779E1,-1.100000381E0,-7.219999695E1,-2.589999962E1
3.097759856E1,-1.100000381E0,-7.219999695E1,-2.580000114E1
3.098759867E1,-1.100000381E0,-7.219999695E1,-2.580000114E1
3.099764840E1,-1.100000381E0,-7.219999695E1,-2.580000114E1
3.100765325E1,-1.100000381E0,-7.219999695E1,-2.580000114E1
3.101804810E1,-1.100000381E0,-7.230000305E1,-2.580000114E1
3.102758763E1,-1.100000381E0,-7.230000305E1,-2.580000114E1
3.103764956E1,-1.100000381E0,-7.230000305E1,-2.580000114E1
3.104762225E1,-1.100000381E0,-7.230000305E1,-2.580000114E1
3.105761133E1,-1.100000381E0,-7.230000305E1,-2.580000114E1
3.106762098E1,-1.100000381E0,-7.230000305E1,-2.580000114E1
3.107765182E1,-1.100000381E0,-7.219999695E1,-2.589999962E1
3.108762844E1,-1.100000381E0,-7.219999695E1,-2.580000114E1
3.109760475E1,-1.100000381E0,-7.219999695E1,-2.589999962E1
3.110762863E1,-1.100000381E0,-7.219999695E1,-2.580000114E1
3.111828806E1,-1.000000000E0,-7.219999695E1,-2.580000114E1
3.112757152E1,-1.000000000E0,-7.219999695E1,-2.580000114E1
3.113765817E1,-1.000000000E0,-7.219999695E1,-2.580000114E1
3.114795013E1,-1.100000381E0,-7.219999695E1,-2.589999962E1
3.115774936E1,-1.100000381E0,-7.219999695E1,-2.580000114E1
3.116760382E1,-1.100000381E0,-7.219999695E1,-2.589999962E1
3.117759671E1,-1.100000381E0,-7.219999695E1,-2.589999962E1
3.118759348E1,-1.200000763E0,-7.230000305E1,-2.580000114E1
3.119762144E1,-1.200000763E0,-7.230000305E1,-2.580000114E1
3.120763060E1,-1.200000763E0,-7.230000305E1,-2.589999962E1
3.121773594E1,-1.100000381E0,-7.219999695E1,-2.589999962E1
3.122759086E1,-1.100000381E0,-7.219999695E1,-2.589999962E1
3.123767582E1,-1.100000381E0,-7.219999695E1,-2.580000114E1
3.124762413E1,-1.100000381E0,-7.209999847E1,-2.570000267E1
3.125759394E1,-1.100000381E0,-7.219999695E1,-2.580000114E1
3.126758840E1,-1.200000763E0,-7.219999695E1,-2.580000114E1
3.127758975E1,-1.200000763E0,-7.230000305E1,-2.589999962E1
3.128759271E1,-1.200000763E0,-7.230000305E1,-2.589999962E1
3.129763221E1,-1.200000763E0,-7.230000305E1,-2.580000114E1
3.130762652E1,-1.200000763E0,-7.230000305E1,-2.580000114E1
3.131759683E1,-1.200000763E0,-7.230000305E1,-2.580000114E1
3.132757625E1,-1.200000763E0,-7.230000305E1,-2.580000114E1
3.133835475E1,-1.299999237E0,-7.230000305E1,-2.580000114E1
3.134758532E1,-1.299999237E0,-7.230000305E1,-2.580000114E1
3.135760621E1,-1.299999237E0,-7.230000305E1,-2.580000114E1
3.136758421E1,-1.299999237E0,-7.230000305E1,-2.580000114E1
3.137762159E1,-1.299999237E0,-7.230000305E1,-2.580000114E1
3.138765898E1,-1.200000763E0,-7.230000305E1,-2.580000114E1
3.139865063E1,-1.200000763E0,-7.219999695E1,-2.580000114E1
3.140761856E1,-1.200000763E0,-7.219999695E1,-2.580000114E1
3.141793375E1,-1.200000763E0,-7.230000305E1,-2.580000114E1
3.142758909E1,-1.200000763E0,-7.230000305E1,-2.580000114E1
3.143760763E1,-1.200000763E0,-7.219999695E1,-2.570000267E1
3.144765229E1,-1.200000763E0,-7.219999695E1,-2.570000267E1
3.145765429E1,-1.100000381E0,-7.219999695E1,-2.570000267E1
3.147060452E1,-1.100000381E0,-7.209999847E1,-2.560000038E1
3.148761971E1,-1.100000381E0,-7.209999847E1,-2.560000038E1
3.149761379E1,-1.000000000E0,-7.209999847E1,-2.560000038E1
3.150759252E1,-1.100000381E0,-7.219999695E1,-2.560000038E1
3.151758856E1,-1.100000381E0,-7.219999695E1,-2.560000038E1
3.152788036E1,-1.100000381E0,-7.219999695E1,-2.560000038E1
3.153761444E1,-1.100000381E0,-7.219999695E1,-2.560000038E1
3.154791592E1,-1.100000381E0,-7.219999695E1,-2.560000038E1
3.155821740E1,-1.000000000E0,-7.219999695E1,-2.560000038E1
3.156761036E1,-1.000000000E0,-7.209999847E1,-2.560000038E1
3.157764259E1,-1.000000000E0,-7.209999847E1,-2.550000191E1
3.158761648E1,-1.000000000E0,-7.209999847E1,-2.550000191E1
3.159795913E1,-1.000000000E0,-7.209999847E1,-2.550000191E1
3.160760702E1,-1.000000000E0,-7.209999847E1,-2.560000038E1
3.161759848E1,-1.000000000E0,-7.209999847E1,-2.570000267E1
3.162760190E1,-1.000000000E0,-7.209999847E1,-2.580000114E1
