"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
3.265768800E-1,1.980060786E-1,-1.555334777E-1,9.888937950E0,9.892142885E0
3.290827650E-1,1.980060786E-1,-1.459621787E-1,9.903294563E0,9.906349205E0
3.315823480E-1,2.219343036E-1,-1.268195957E-1,9.932008743E0,9.935297465E0
3.340819320E-1,2.171486616E-1,-1.603191197E-1,9.946365356E0,9.950027114E0
3.365814630E-1,2.123630047E-1,-1.316052526E-1,9.903294563E0,9.906445437E0
3.390810460E-1,2.267199457E-1,-1.555334777E-1,9.879366875E0,9.883191916E0
3.415806300E-1,1.645065546E-1,-1.268195957E-1,9.946365356E0,9.948534034E0
3.440801610E-1,1.740778536E-1,-1.124626622E-1,9.922437668E0,9.924601766E0
3.465795360E-1,1.788634956E-1,-1.411765367E-1,9.874580383E0,9.877209156E0
3.490756300E-1,2.027917206E-1,-1.076770201E-1,9.898509026E0,9.901171635E0
3.515717230E-1,2.075773627E-1,-1.459621787E-1,9.927223206E0,9.930465945E0
3.540710980E-1,1.932204217E-1,-1.411765367E-1,9.960722923E0,9.963597046E0
3.565704210E-1,2.075773627E-1,-1.220339537E-1,9.946365356E0,9.949279595E0
3.590697960E-1,1.549352705E-1,-1.459621787E-1,9.946365356E0,9.948642807E0
3.615692230E-1,1.884347796E-1,-1.316052526E-1,9.903294563E0,9.905961378E0
3.640685980E-1,1.692921966E-1,-1.028913707E-1,9.903294563E0,9.905275851E0
3.665677130E-1,1.884347796E-1,-1.316052526E-1,9.903294563E0,9.905961378E0
3.690617750E-1,1.932204217E-1,-1.028913707E-1,9.936794281E0,9.939205267E0
3.715558380E-1,1.836491376E-1,-1.411765367E-1,9.927223206E0,9.929925397E0
3.740549530E-1,1.932204217E-1,-1.363908947E-1,9.927223206E0,9.930040140E0
3.765540150E-1,1.932204217E-1,-1.220339537E-1,9.912865639E0,9.915499563E0
3.790531300E-1,1.740778536E-1,-1.172483116E-1,9.932008743E0,9.934226087E0
3.815522440E-1,1.453639716E-1,-7.896314561E-2,9.908080101E0,9.909460992E0
3.840513070E-1,2.075773627E-1,-1.172483116E-1,9.932008743E0,9.934869562E0
3.865501090E-1,1.692921966E-1,-1.459621787E-1,9.965508461E0,9.968015033E0
3.890438070E-1,1.836491376E-1,-1.459621787E-1,9.922437668E0,9.925210387E0
3.915374530E-1,1.405783296E-1,-1.363908947E-1,9.912865639E0,9.914800548E0
3.940362550E-1,1.645065546E-1,-1.411765367E-1,9.941579819E0,9.943943006E0
3.965350050E-1,2.027917206E-1,-1.172483116E-1,9.859625816E0,9.862408067E0
3.990338070E-1,1.836491376E-1,-1.555334777E-1,9.888937950E0,9.891865924E0
4.015326090E-1,2.123630047E-1,-1.507478207E-1,9.917651176E0,9.921069892E0
4.040314110E-1,1.405783296E-1,-9.332008660E-2,9.879366875E0,9.880807697E0
4.065308900E-1,1.788634956E-1,-1.363908947E-1,9.903294563E0,9.905848668E0
4.090422960E-1,1.788634956E-1,-1.124626622E-1,9.932008743E0,9.934255769E0
4.115537030E-1,1.836491376E-1,-1.555334777E-1,9.903294563E0,9.906218293E0
4.140531820E-1,1.932204217E-1,-1.363908947E-1,9.917651176E0,9.920470829E0
4.165526090E-1,1.884347796E-1,-1.172483116E-1,9.912865639E0,9.915349717E0
4.190520880E-1,1.549352705E-1,-1.316052526E-1,9.908080101E0,9.910165295E0
4.215515670E-1,1.884347796E-1,-1.316052526E-1,9.903294563E0,9.905961378E0
4.240510460E-1,2.123630047E-1,-1.555334777E-1,9.884152412E0,9.887656832E0
4.265502130E-1,1.788634956E-1,-1.363908947E-1,9.888937950E0,9.891495762E0
4.290440670E-1,2.410768867E-1,-1.794617027E-1,9.912865639E0,9.917420518E0
4.315378690E-1,1.788634956E-1,-1.411765367E-1,9.888937950E0,9.891562907E0
4.340370360E-1,2.267199457E-1,-1.363908947E-1,9.898509026E0,9.902044503E0
4.365361500E-1,1.884347796E-1,-1.363908947E-1,9.898509026E0,9.901241895E0
4.390353170E-1,1.597209126E-1,-1.459621787E-1,9.946365356E0,9.948718487E0
4.415344840E-1,2.506481707E-1,-1.459621787E-1,9.908080101E0,9.912324690E0
4.440336500E-1,1.788634956E-1,-1.316052526E-1,9.898509026E0,9.900999597E0
4.465332340E-1,1.645065546E-1,-9.332008660E-2,9.912865639E0,9.914669748E0
4.490401610E-1,1.788634956E-1,-1.363908947E-1,9.903294563E0,9.905848668E0
4.515470360E-1,2.171486616E-1,-1.411765367E-1,9.908080101E0,9.911464859E0
4.540466190E-1,1.692921966E-1,-1.268195957E-1,9.908080101E0,9.910337751E0
4.565461500E-1,2.219343036E-1,-1.172483116E-1,9.941579819E0,9.944747925E0
4.590457340E-1,1.788634956E-1,-1.076770201E-1,9.922437668E0,9.924633785E0
4.615453170E-1,1.836491376E-1,-1.363908947E-1,9.917651176E0,9.920289025E0
4.640449000E-1,2.123630047E-1,-1.316052526E-1,9.903294563E0,9.906445437E0
