"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)"
2.586724947E0,-2.483984232E0,6.396110058E0,6.664260387E0
2.596719948E0,-2.460042238E0,6.405686855E0,6.678625584E0
2.606809403E0,-2.450465441E0,6.410475254E0,6.678625584E0
2.616837112E0,-2.483984232E0,6.415263653E0,6.702567577E0
2.626881249E0,-2.474407434E0,6.415263653E0,6.707355976E0
2.636900338E0,-2.460042238E0,6.415263653E0,6.702567577E0
2.646886733E0,-2.488772631E0,6.396110058E0,6.683413982E0
2.656897990E0,-2.464830637E0,6.405686855E0,6.721721172E0
2.666999852E0,-2.474407434E0,6.405686855E0,6.702567577E0
2.677003841E0,-2.469619036E0,6.400898457E0,6.697779179E0
2.686986547E0,-2.460042238E0,6.396110058E0,6.688202381E0
2.696991085E0,-2.464830637E0,6.429628849E0,6.678625584E0
2.707048971E0,-2.488772631E0,6.381744862E0,6.673837185E0
2.717051190E0,-2.483984232E0,6.381744862E0,6.707355976E0
2.727091047E0,-2.464830637E0,6.400898457E0,6.692990780E0
2.737102997E0,-2.469619036E0,6.400898457E0,6.712144375E0
2.747157864E0,-2.469619036E0,6.405686855E0,6.712144375E0
2.757160646E0,-2.455253839E0,6.420052052E0,6.702567577E0
2.767214662E0,-2.460042238E0,6.391321659E0,6.664260387E0
2.777212204E0,-2.483984232E0,6.420052052E0,6.692990780E0
2.787263499E0,-2.479195833E0,6.415263653E0,6.683413982E0
2.797379938E0,-2.464830637E0,6.405686855E0,6.688202381E0
2.807374631E0,-2.464830637E0,6.396110058E0,6.683413982E0
2.817351984E0,-2.479195833E0,6.405686855E0,6.697779179E0
2.827419655E0,-2.455253839E0,6.396110058E0,6.707355976E0
2.837463972E0,-2.474407434E0,6.429628849E0,6.697779179E0
2.847475690E0,-2.474407434E0,6.405686855E0,6.692990780E0
2.857478969E0,-2.469619036E0,6.405686855E0,6.692990780E0
2.867504757E0,-2.469619036E0,6.415263653E0,6.702567577E0
2.877567861E0,-2.479195833E0,6.410475254E0,6.692990780E0
2.887601178E0,-2.455253839E0,6.391321659E0,6.683413982E0
2.897563220E0,-2.483984232E0,6.424840450E0,6.688202381E0
2.907679411E0,-2.469619036E0,6.410475254E0,6.692990780E0
2.917719738E0,-2.464830637E0,6.391321659E0,6.702567577E0
2.927649518E0,-2.483984232E0,6.391321659E0,6.692990780E0
2.937684020E0,-2.469619036E0,6.396110058E0,6.692990780E0
2.947720404E0,-2.460042238E0,6.415263653E0,6.707355976E0
2.957831647E0,-2.474407434E0,6.396110058E0,6.683413982E0
2.967823668E0,-2.469619036E0,6.400898457E0,6.678625584E0
2.977843622E0,-2.479195833E0,6.391321659E0,6.697779179E0
2.987827251E0,-2.464830637E0,6.391321659E0,6.712144375E0
2.997841669E0,-2.488772631E0,6.391321659E0,6.678625584E0
3.007930824E0,-2.488772631E0,6.410475254E0,6.654683590E0
3.017900211E0,-2.450465441E0,6.400898457E0,6.688202381E0
3.027948333E0,-2.469619036E0,6.410475254E0,6.712144375E0
3.038029670E0,-2.474407434E0,6.400898457E0,6.673837185E0
3.048046699E0,-2.450465441E0,6.405686855E0,6.707355976E0
3.058048544E0,-2.464830637E0,6.405686855E0,6.678625584E0
3.068036819E0,-2.469619036E0,6.405686855E0,6.683413982E0
3.078104133E0,-2.464830637E0,6.429628849E0,6.707355976E0
3.088151500E0,-2.479195833E0,6.420052052E0,6.688202381E0
3.098110323E0,-2.479195833E0,6.381744862E0,6.673837185E0
3.108152037E0,-2.460042238E0,6.410475254E0,6.678625584E0
3.118214821E0,-2.483984232E0,6.400898457E0,6.721721172E0
3.128200038E0,-2.460042238E0,6.396110058E0,6.726509571E0
3.138242149E0,-2.479195833E0,6.410475254E0,6.716932774E0
3.148334614E0,-2.469619036E0,6.434417248E0,6.697779179E0
3.158304594E0,-2.464830637E0,6.420052052E0,6.654683590E0
3.168304084E0,-2.460042238E0,6.415263653E0,6.678625584E0
3.178333665E0,-2.464830637E0,6.410475254E0,6.688202381E0
3.188394862E0,-2.469619036E0,6.381744862E0,6.697779179E0
3.198468284E0,-2.479195833E0,6.415263653E0,6.683413982E0
3.208433628E0,-2.464830637E0,6.376956463E0,6.673837185E0
3.218501572E0,-2.450465441E0,6.400898457E0,6.673837185E0
3.228495604E0,-2.479195833E0,6.410475254E0,6.692990780E0
3.238494101E0,-2.479195833E0,6.420052052E0,6.683413982E0
3.248578298E0,-2.479195833E0,6.391321659E0,6.688202381E0
3.258581533E0,-2.464830637E0,6.386533260E0,6.688202381E0
3.268663084E0,-2.445677042E0,6.415263653E0,6.712144375E0
3.278622225E0,-2.479195833E0,6.424840450E0,6.707355976E0
3.288638451E0,-2.469619036E0,6.415263653E0,6.688202381E0
3.298655649E0,-2.460042238E0,6.400898457E0,6.692990780E0
3.308720244E0,-2.469619036E0,6.420052052E0,6.702567577E0
3.318719460E0,-2.493561029E0,6.386533260E0,6.707355976E0
3.328780686E0,-2.464830637E0,6.424840450E0,6.683413982E0
3.338776082E0,-2.474407434E0,6.391321659E0,6.688202381E0
3.348880335E0,-2.469619036E0,6.391321659E0,6.692990780E0
3.358937112E0,-2.474407434E0,6.400898457E0,6.697779179E0
3.368876323E0,-2.474407434E0,6.386533260E0,6.712144375E0
3.378882772E0,-2.479195833E0,6.386533260E0,6.673837185E0
3.388894130E0,-2.474407434E0,6.386533260E0,6.688202381E0
3.398927185E0,-2.460042238E0,6.415263653E0,6.688202381E0
3.408960606E0,-2.464830637E0,6.386533260E0,6.683413982E0
3.418983342E0,-2.450465441E0,6.424840450E0,6.669048786E0
3.429113072E0,-2.469619036E0,6.405686855E0,6.669048786E0
3.439059581E0,-2.455253839E0,6.410475254E0,6.716932774E0
3.449129554E0,-2.474407434E0,6.429628849E0,6.688202381E0
